season;episode;speaker;Symptom;Test;Drug;Procedure;Intent;diagnosis_stage;Sarcasm;Emotion;Organ;correct_prediction;model_prediction;text;medical_entities
1;1;House;;kontrastlı MR;;;hipotez;test;0;nötr;beyin;nörosistiserkozis;;Hemen kontrastlı bir beyin MR'ı isteyin.;"[{""text"": ""kontrastlı MR"", ""type"": ""Test""}]"
1;1;Cameron;;;;;hipotez;hipotez;0;nötr;beyin;nörosistiserkozis;;Creutzfeldt-Jakob hastalığı olabilir.;"[{""text"": ""Creutzfeldt-Jakob hastalığı"", ""type"": ""Disease""}]"
1;1;Foreman;;;;;soru;hipotez;0;nötr;beyin;nörosistiserkozis;;Wernicke ensefalopatisi olabilir mi?;"[{""text"": ""Wernicke ensefalopatisi"", ""type"": ""Disease""}]"
1;1;House;;tiamin düzeyi;;;açıklama;test;0;nötr;;nörosistiserkozis;;Hayır, kandaki tiamin düzeyi normaldi.;"[{""text"": ""tiamin düzeyi"", ""type"": ""Test""}]"
1;1;House;;kan testi,kontrastlı MR;;;hipotez;test;0;nötr;beyin;nörosistiserkozis;;Kan testlerini yeniden alın ve kontrastlı MR'ı acilen planlayın.;"[{""text"": ""kan testi"", ""type"": ""Test""}, {""text"": ""kontrastlı MR"", ""type"": ""Test""}]"
1;1;Foreman;;MR;gadolinyum;;açıklama;test;0;nötr;beyin;nörosistiserkozis;;"Gadolinyumu damardan veriyoruz; beyine dağılıp MR için kontrast madde gibi davranacak.";"[{""text"": ""gadolinyum"", ""type"": ""Drug""}, {""text"": ""MR"", ""type"": ""Test""}, {""text"": ""beyin"", ""type"": ""Anatomy""}]"
1;1;Cameron;alerjik reaksiyon;;gadolinyum;;açıklama;test;0;kaygı;;nörosistiserkozis;;"Gadolinyuma alerjik reaksiyon geliştiriyor; iki dakika içinde ölebilir.";"[{""text"": ""gadolinyum"", ""type"": ""Drug""}, {""text"": ""alerjik reaksiyon"", ""type"": ""Symptom""}]"
1;1;Foreman;solunum durması;;epinefrin;;açıklama;test;0;kaygı;;nörosistiserkozis;;Nefes almıyor. Yarım doz epinefrin verin.;"[{""text"": ""solunum durması"", ""type"": ""Symptom""}, {""text"": ""epinefrin"", ""type"": ""Drug""}]"
1;1;Cameron;;;;ventilasyon;açıklama;test;0;kaygı;;nörosistiserkozis;;Ventile edemiyorum.;"[{""text"": ""ventilasyon"", ""type"": ""Procedure""}]"
1;1;Foreman;ödem;;;cerrahi hava yolu;açıklama;test;0;kaygı;boğaz;nörosistiserkozis;;"Ödem çok fazla; cerrahi hava yolu setini getirin.";"[{""text"": ""ödem"", ""type"": ""Symptom""}, {""text"": ""cerrahi hava yolu"", ""type"": ""Procedure""}, {""text"": ""boğaz"", ""type"": ""Anatomy""}]"
1;1;House;;;;;açıklama;değerlendirme;0;nötr;;nörosistiserkozis;;Genetik ya da çevresel etkenlerin inflamatuvar yanıtı tetikleyip tetiklemediğini anlamamız gerekiyor.;[]
1;1;House;;;prednizon;;hipotez;test;0;nötr;;nörosistiserkozis;;Yüksek doz prednizon başlayın.;"[{""text"": ""prednizon"", ""type"": ""Drug""}]"
1;1;Foreman;;;;;açıklama;hipotez;0;nötr;beyin;nörosistiserkozis;;Serebral vaskülit tanısını desteklemeye çalışıyorsun.;"[{""text"": ""serebral vaskülit"", ""type"": ""Disease""}]"
1;1;Cameron;;;;;açıklama;hipotez;0;nötr;beyin;nörosistiserkozis;;Beyindeki damarların iltihabı, onun yaşında biri için oldukça nadirdir.;"[{""text"": ""serebral vaskülit"", ""type"": ""Disease""}, {""text"": ""beyin"", ""type"": ""Anatomy""}, {""text"": ""damar"", ""type"": ""Anatomy""}]"
1;1;House;;sedimantasyon hızı;;;açıklama;hipotez;0;nötr;;nörosistiserkozis;;"Ama tümör de nadir; sedimantasyon hızı yüksekti.";"[{""text"": ""tümör"", ""type"": ""Disease""}, {""text"": ""sedimantasyon hızı"", ""type"": ""Test""}]"
1;1;Cameron;;;;biyopsi;açıklama;test;0;nötr;beyin;nörosistiserkozis;;Bunu biyopsi olmadan teşhis edemezsiniz.;"[{""text"": ""biyopsi"", ""type"": ""Procedure""}]"
1;1;House;;;;;açıklama;test;0;nötr;;nörosistiserkozis;;"Düzelirse doğru düşündüğümüzü anlarız; tedavi aynı zamanda tanı olur.";[]
1;1;Cameron;;;;;açıklama;test;0;empati;beyin;nörosistiserkozis;;"Sizi vaskülit için tedavi ediyoruz; bu, beyindeki damarların iltihaplanması demek.";"[{""text"": ""vaskülit"", ""type"": ""Disease""}, {""text"": ""beyin"", ""type"": ""Anatomy""}, {""text"": ""damar"", ""type"": ""Anatomy""}]"
1;1;Rebecca;;;;;soru;test;0;kaygı;beyin;nörosistiserkozis;;Yani tümör değil mi? Beynimde tümör yok mu?;"[{""text"": ""tümör"", ""type"": ""Disease""}, {""text"": ""beyin"", ""type"": ""Anatomy""}]"
1;1;Rebecca;görme kaybı;;;;açıklama;değerlendirme;0;kaygı;göz;nörosistiserkozis;;Artık göremiyorum.;"[{""text"": ""görme kaybı"", ""type"": ""Symptom""}]"
1;1;Foreman;;;;defibrilasyon;açıklama;değerlendirme;0;empati;kalp;nörosistiserkozis;;Kalbini yeniden çalıştırmak için elektrik şoku vermek zorunda kaldık.;"[{""text"": ""defibrilasyon"", ""type"": ""Procedure""}, {""text"": ""kalp"", ""type"": ""Anatomy""}]"
1;1;Foreman;zihinsel durum bozukluğu,konuşma bozukluğu;;;;açıklama;değerlendirme;0;nötr;beyin;nörosistiserkozis;;"Zihinsel durum bozukluğu aralıklı; konuşma sorunları da aynı şekilde gelip gidiyor.";"[{""text"": ""zihinsel durum bozukluğu"", ""type"": ""Symptom""}, {""text"": ""konuşma bozukluğu"", ""type"": ""Symptom""}]"
1;1;Foreman;körlük,solunum yetmezliği,yürüyememe;;;;açıklama;değerlendirme;0;kaygı;beyin sapı,solunum merkezi;nörosistiserkozis;;"Belirtiler sorunun beyin sapına ilerlediğini gösteriyor; yakında yürüyemeyecek, kalıcı kör olacak ve solunum merkezi çökecek.";"[{""text"": ""beyin sapı"", ""type"": ""Anatomy""}, {""text"": ""körlük"", ""type"": ""Symptom""}, {""text"": ""solunum yetmezliği"", ""type"": ""Symptom""}, {""text"": ""solunum merkezi"", ""type"": ""Anatomy""}]"
1;1;Foreman;;;;;açıklama;değerlendirme;0;nötr;;nörosistiserkozis;;"Eğer tümörse bir ya da iki ayı vardır; enfeksiyonsa birkaç hafta, damarsal bir nedense belki bir hafta.";"[{""text"": ""tümör"", ""type"": ""Disease""}, {""text"": ""enfeksiyon"", ""type"": ""Disease""}, {""text"": ""damarsal hastalık"", ""type"": ""Disease""}]"
1;1;House;;;steroid;;açıklama;değerlendirme;0;nötr;;nörosistiserkozis;;Steroidler bir şey yaptı ama tam olarak ne yaptığını henüz bilmiyorum.;"[{""text"": ""steroid"", ""type"": ""Drug""}]"
1;1;House;yürüyememe;;;;açıklama;değerlendirme;0;nötr;beyin;nörosistiserkozis;;"Bu bir tümör değil; çok hızlı kötüleşiyor ve artık ayağa kalkamıyor.";"[{""text"": ""tümör"", ""type"": ""Disease""}, {""text"": ""yürüyememe"", ""type"": ""Symptom""}]"
1;1;House;;;;;hipotez;hipotez;1;alaycı;;nörosistiserkozis;;"Nerede jambon varsa orada domuz vardır; domuz varsa nörosistiserkozis ihtimali de vardır.";"[{""text"": ""nörosistiserkozis"", ""type"": ""Disease""}]"
1;1;Chase;;;;;soru;hipotez;0;kaygı;beyin;nörosistiserkozis;;Tenya mı? Beyninde bir kurt olduğunu mu düşünüyorsun?;"[{""text"": ""tenya"", ""type"": ""Disease""}, {""text"": ""beyin"", ""type"": ""Anatomy""}]"
1;1;House;;;;;açıklama;hipotez;0;nötr;bağırsak;nörosistiserkozis;;"Domuz eti iyi pişmezse canlı tenya larvalarını alırsın; bağırsağa tutunup büyürler.";"[{""text"": ""tenya larvası"", ""type"": ""Disease""}, {""text"": ""bağırsak"", ""type"": ""Anatomy""}]"
1;1;House;;;;;açıklama;hipotez;0;nötr;bağırsak,kan dolaşımı;nörosistiserkozis;;Yumurtalar bağırsak duvarını geçip kan dolaşımına karışabilir.;"[{""text"": ""bağırsak"", ""type"": ""Anatomy""}, {""text"": ""kan dolaşımı"", ""type"": ""Anatomy""}]"
1;1;House;;;;;açıklama;hipotez;0;nötr;bağışıklık sistemi;nörosistiserkozis;;"Parazit sağlıklıyken bağışıklık sistemi onun varlığını fark etmez; salgılarıyla yanıtı baskılar.";"[{""text"": ""parazit"", ""type"": ""Disease""}, {""text"": ""bağışıklık sistemi"", ""type"": ""Anatomy""}]"
1;1;House;ödem;;;;açıklama;hipotez;0;nötr;beyin;nörosistiserkozis;;Parazit ölmeye başlayınca bağışıklık sistemi saldırır, her şey şişer ve bu beyin için çok kötüdür.;"[{""text"": ""parazit"", ""type"": ""Disease""}, {""text"": ""ödem"", ""type"": ""Symptom""}, {""text"": ""beyin"", ""type"": ""Anatomy""}]"
1;1;House;;;;;açıklama;hipotez;0;nötr;beyin;nörosistiserkozis;;"Beyninde bir tenya var; hiçbir şey yapmazsak hafta sonunu göremezsin.";"[{""text"": ""tenya"", ""type"": ""Disease""}, {""text"": ""beyin"", ""type"": ""Anatomy""}]"
1;1;Chase;;röntgen;;;hipotez;test;0;nötr;;nörosistiserkozis;;"Bunun bir kurt olduğunu gösterecek şekilde kanıtlayabiliriz; röntgen invaziv değil ve güvenlidir.";"[{""text"": ""röntgen"", ""type"": ""Test""}]"
1;1;Chase;;röntgen;;;açıklama;test;0;nötr;;nörosistiserkozis;;Sıradan bir röntgende kurtlar saçma taneleri gibi görünür.;"[{""text"": ""röntgen"", ""type"": ""Test""}, {""text"": ""kurt"", ""type"": ""Disease""}]"
1;1;House;;röntgen;;;hipotez;test;0;nötr;bacak,uyluk kası;nörosistiserkozis;;"Başını değil bacağını röntgenlemeliyiz; kurtlar uyluk kasını sever.";"[{""text"": ""röntgen"", ""type"": ""Test""}, {""text"": ""bacak"", ""type"": ""Anatomy""}, {""text"": ""uyluk kası"", ""type"": ""Anatomy""}]"
1;1;Chase;;;;;açıklama;kesin_tanı;0;nötr;;nörosistiserkozis;;Burada gördüğünüz şey bir kurt larvası.;"[{""text"": ""kurt larvası"", ""type"": ""Disease""}]"
1;1;Rebecca;;;;;soru;kesin_tanı;0;kaygı;bacak,beyin;nörosistiserkozis;;Bacağımda varsa beynimde de vardır, öyle mi?;"[{""text"": ""bacak"", ""type"": ""Anatomy""}, {""text"": ""beyin"", ""type"": ""Anatomy""}]"
1;1;Chase;karın ağrısı,bulantı,baş ağrısı,baş dönmesi,ateş,saç dökülmesi;;albendazol;;açıklama;kesin_tanı;0;nötr;;nörosistiserkozis;;"Albendazol kullanacaksın; en az bir ay boyunca her gün yemekle alacaksın. Olası yan etkiler karın ağrısı, bulantı, baş ağrısı, baş dönmesi, ateş ve saç dökülmesi.";"[{""text"": ""albendazol"", ""type"": ""Drug""}, {""text"": ""karın ağrısı"", ""type"": ""Symptom""}, {""text"": ""bulantı"", ""type"": ""Symptom""}, {""text"": ""baş ağrısı"", ""type"": ""Symptom""}, {""text"": ""baş dönmesi"", ""type"": ""Symptom""}, {""text"": ""ateş"", ""type"": ""Symptom""}, {""text"": ""saç dökülmesi"", ""type"": ""Symptom""}]"
1;2;Cameron;diplopi,gece terörü;;;;açıklama;hipotez;0;nötr;beyin;subakut sklerozan panensefalit;;16 yaşındaki erkek hastada ani başlayan diplopi ve gece terörleri var.;"[{""text"":""diplopi"",""type"":""Symptom""},{""text"":""gece terörü"",""type"":""Symptom""}]"
1;2;House;gece terörü;;;;açıklama;hipotez;0;nötr;beyin;subakut sklerozan panensefalit;;16 yaşındaki bir hastada gece terörü olması aileyle ayrıntılı konuşmak için çok iyi bir neden.;"{""text"":""gece terörü"",""type"":""Symptom""}"
1;2;House;gece terörü;;;;soru;hipotez;0;nötr;;subakut sklerozan panensefalit;;Gece terörlerini ne zamandır yaşıyorsun?;"{""text"":""gece terörü"",""type"":""Symptom""}"
1;2;Dan'ın Babası;uykusuzluk,yorgunluk;;;;açıklama;hipotez;0;kaygı;;subakut sklerozan panensefalit;;Uyumaktan korkuyor, tamamen tükenmiş halde ve zar zor işlev görüyor.;"[{""text"":""uykusuzluk"",""type"":""Symptom""},{""text"":""yorgunluk"",""type"":""Symptom""}]"
1;2;House;;;;;açıklama;hipotez;0;nötr;;subakut sklerozan panensefalit;;Ergenlerde gece terörünün iki yaygın nedeni travma sonrası stres bozukluğu ve cinsel istismardır.;"[{""text"":""travma sonrası stres bozukluğu"",""type"":""Disease""},{""text"":""cinsel istismar"",""type"":""Disease""},{""text"":""gece terörü"",""type"":""Symptom""}]"
1;2;Dan;kafa travması;;;;açıklama;hipotez;0;nötr;beyin;subakut sklerozan panensefalit;;Lakros maçında başıma sert darbe aldım.;"{""text"":""kafa travması"",""type"":""Symptom""}"
1;2;Dan'ın Babası;;BT;;;açıklama;test;0;nötr;beyin;subakut sklerozan panensefalit;;"Acilde tarandı ve test edildi; beyin sarsıntısı olmadığı söylendi.";"[{""text"":""BT"",""type"":""Test""},{""text"":""beyin sarsıntısı"",""type"":""Disease""}]"
1;2;House;beyin sarsıntısı;;;;hipotez;hipotez;0;nötr;beyin;subakut sklerozan panensefalit;;"Acil servis yanılmış; çocukta beyin sarsıntısı var.";"{""text"":""beyin sarsıntısı"",""type"":""Disease""}"
1;2;Dan;diplopi;;;;açıklama;hipotez;0;nötr;göz;subakut sklerozan panensefalit;;Çifte görmem başıma darbe almadan önce başlamıştı.;"{""text"":""diplopi"",""type"":""Symptom""}"
1;2;House;diplopi,beyin sarsıntısı,gece terörü;;;;şaka;hipotez;1;alaycı;beyin,göz;subakut sklerozan panensefalit;;"Önce diplopi, sonra darbe, sonra beyin sarsıntısı ve gece terörü; belki de sadece gözlüğe ihtiyacı vardır.";"[{""text"":""diplopi"",""type"":""Symptom""},{""text"":""beyin sarsıntısı"",""type"":""Disease""},{""text"":""gece terörü"",""type"":""Symptom""}]"
1;2;House;miyoklonik sıçrama;;;;soru;değerlendirme;0;nötr;bacak;subakut sklerozan panensefalit;;Bacağındaki o sıçramayı hissettin mi?;"{""text"":""miyoklonik sıçrama"",""type"":""Symptom""}"
1;2;House;miyoklonik sıçrama;;;;açıklama;değerlendirme;0;nötr;beyin;subakut sklerozan panensefalit;;"Bu bir miyoklonik sıçrama; solunum yavaşlayınca beyin bedeni ölüyor sanıp onu uyandırmak için dürtü gönderir.";"[{""text"":""miyoklonik sıçrama"",""type"":""Symptom""},{""text"":""solunum"",""type"":""Anatomy""},{""text"":""beyin"",""type"":""Anatomy""}]"
1;2;House;;;;yatış;açıklama;değerlendirme;0;nötr;;subakut sklerozan panensefalit;;"Uyumuyor, tamamen uyanık; hastaneye yatırın.";"{""text"":""yatış"",""type"":""Procedure""}"
1;2;Foreman;kas kontrol kaybı,diplopi,uyku bozukluğu;;;;açıklama;değerlendirme;0;nötr;beyin;subakut sklerozan panensefalit;;"Beyin vücudu kontrol etmeyi kaybediyor; gözleri odaklayamıyor, uykuyu düzenleyemiyor ve kas hareketlerini kontrol edemiyor.";"[{""text"":""kas kontrol kaybı"",""type"":""Symptom""},{""text"":""diplopi"",""type"":""Symptom""},{""text"":""uyku bozukluğu"",""type"":""Symptom""}]"
1;2;House;;;;;hipotez;hipotez;0;nötr;beyin;subakut sklerozan panensefalit;;Bu ya bir hareket bozukluğu ya da dejeneratif bir beyin hastalığı.;"[{""text"":""hareket bozukluğu"",""type"":""Disease""},{""text"":""dejeneratif beyin hastalığı"",""type"":""Disease""}]"
1;2;Chase;;;;;hipotez;hipotez;0;nötr;;subakut sklerozan panensefalit;;"Belki de durum bu kadar ağır değildir; bir enfeksiyon olabilir.";"{""text"":""enfeksiyon"",""type"":""Disease""}"
1;2;House;ateş;lökosit sayımı;;;açıklama;değerlendirme;0;nötr;;subakut sklerozan panensefalit;;Ateşi yok ve beyaz küre sayımı da yüksek değil.;"[{""text"":""ateş"",""type"":""Symptom""},{""text"":""lökosit sayımı"",""type"":""Test""}]"
1;2;Chase;;;;;hipotez;hipotez;0;nötr;karaciğer,böbrek,beyin;subakut sklerozan panensefalit;;Gece terörünü dışarıda bırakırsak sorun karaciğer, böbrek ya da beyin dışındaki başka bir sistemden kaynaklanıyor olabilir.;"[{""text"":""karaciğer"",""type"":""Anatomy""},{""text"":""böbrek"",""type"":""Anatomy""},{""text"":""beyin"",""type"":""Anatomy""}]"
1;2;House;gece terörü;polisomnografi;;;hipotez;test;0;nötr;;subakut sklerozan panensefalit;;"Gece terörleri gerçek mi görelim; ayrıntılı bir polisomnografi istiyorum.";"[{""text"":""gece terörü"",""type"":""Symptom""},{""text"":""polisomnografi"",""type"":""Test""}]"
1;2;House;sinir hasarı;EEG;;;açıklama;test;0;nötr;beyin,ayak parmakları;subakut sklerozan panensefalit;;"EEG'de beyin aktivitesinde bozukluk var; ayak parmaklarına giden sinir yolları hasar görmüş.";"[{""text"":""EEG"",""type"":""Test""},{""text"":""sinir hasarı"",""type"":""Symptom""},{""text"":""ayak parmakları"",""type"":""Anatomy""}]"
1;2;Foreman;;BT,MR,TKS,Chem-7,akciğer grafisi;;;açıklama;test;0;nötr;;subakut sklerozan panensefalit;;BT, MR, tam kan sayımı, Chem-7 ve akciğer grafisinin hepsi normal çıktı.;"[{""text"":""BT"",""type"":""Test""},{""text"":""MR"",""type"":""Test""},{""text"":""tam kan sayımı"",""type"":""Test""},{""text"":""Chem-7"",""type"":""Test""},{""text"":""akciğer grafisi"",""type"":""Test""}]"
1;2;House;;MR;;;açıklama;değerlendirme;0;nötr;beyin;subakut sklerozan panensefalit;;"16 yaşındaki bir beynin kusursuz olması gerekir; MR'daki en küçük anormallik bile önemlidir.";"[{""text"":""MR"",""type"":""Test""},{""text"":""beyin"",""type"":""Anatomy""}]"
1;2;House;;MR;;;açıklama;değerlendirme;0;nötr;beyin;subakut sklerozan panensefalit;;"İki yarıküreyi bağlayan sinir liflerinde hafif bir yer değişikliği var; bir şey beynin bir kısmına baskı yapıyor.";"[{""text"":""MR"",""type"":""Test""},{""text"":""sinir lifleri"",""type"":""Anatomy""},{""text"":""beyin"",""type"":""Anatomy""}]"
1;2;Foreman;;radyoizotoplu inceleme;;;açıklama;test;0;nötr;omurga,beyin;subakut sklerozan panensefalit;;"Radyoaktif izotopla işaretlenmiş maddeyi omurga yoluyla veriyoruz; beyne ulaşıp incelemeyi görünür hale getirecek.";"[{""text"":""radyoaktif izotop"",""type"":""Test""},{""text"":""omurga"",""type"":""Anatomy""},{""text"":""beyin"",""type"":""Anatomy""}]"
1;2;Chase;;;;şant;hipotez;test;0;nötr;ventrikül,beyin omurilik sıvısı;subakut sklerozan panensefalit;;Beyin omurilik sıvısına çıkış yolu sağlamak için ventriküle bir şant yerleştireceğiz.;"[{""text"":""şant"",""type"":""Procedure""},{""text"":""ventrikül"",""type"":""Anatomy""},{""text"":""beyin omurilik sıvısı"",""type"":""Anatomy""}]"
1;2;Foreman;;BOS analizi;;;açıklama;test;0;nötr;beyin omurilik sıvısı;subakut sklerozan panensefalit;;BOS örneğinde oligoklonal bantlar ve intratekal IgG artışı var.;"[{""text"":""BOS analizi"",""type"":""Test""},{""text"":""oligoklonal bant"",""type"":""Test""},{""text"":""IgG"",""type"":""Test""}]"
1;2;House;;;;;hipotez;hipotez;0;nötr;beyin;subakut sklerozan panensefalit;;Bu bulgular multipl skleroz düşündürüyor.;"{""text"":""multipl skleroz"",""type"":""Disease""}"
1;2;Cameron;lezyon;MR;;;açıklama;değerlendirme;0;nötr;beyin;subakut sklerozan panensefalit;;MR'da lezyon yokken multipl skleroz tanısından tam emin olamayız.;"[{""text"":""MR"",""type"":""Test""},{""text"":""lezyon"",""type"":""Symptom""},{""text"":""multipl skleroz"",""type"":""Disease""}]"
1;2;House;;;;;açıklama;değerlendirme;0;nötr;beyin;subakut sklerozan panensefalit;;"Eğer bu MS ise çok hızlı ilerliyor; yine de tedaviye hemen başlamalıyız.";"{""text"":""MS"",""type"":""Disease""}"
1;2;Chase;;;;;açıklama;değerlendirme;0;empati;;subakut sklerozan panensefalit;;"MS son derece değişken seyreden bir hastalıktır; bunun gerçekten MS olduğundan da yüzde yüz emin değiliz.";"{""text"":""MS"",""type"":""Disease""}"
1;2;Chase;bağırsak işlev bozukluğu,mesane işlev bozukluğu,bilişsel kayıp,ağrı;;;;açıklama;değerlendirme;0;empati;;subakut sklerozan panensefalit;;Hastalık ilerlerse bağırsak ve mesane sorunları, bilişsel işlev kaybı ve ağrı gelişebilir.;"[{""text"":""bağırsak işlev bozukluğu"",""type"":""Symptom""},{""text"":""mesane işlev bozukluğu"",""type"":""Symptom""},{""text"":""bilişsel işlev kaybı"",""type"":""Symptom""},{""text"":""ağrı"",""type"":""Symptom""}]"
1;2;House;akut konfüzyon;;;;açıklama;değerlendirme;0;nötr;beyin;subakut sklerozan panensefalit;;Akut konfüzyon tablosu MS gibi demiyelinizan bir hastalıkla uyuşmuyor.;"[{""text"":""akut konfüzyon"",""type"":""Symptom""},{""text"":""MS"",""type"":""Disease""}]"
1;2;House;;;;;hipotez;hipotez;0;nötr;beyin;subakut sklerozan panensefalit;;"Sorun MS değil; çocuğun beyninde bir enfeksiyon var.";"{""text"":""beyin enfeksiyonu"",""type"":""Disease""}"
1;2;House;;RPR;;;hipotez;test;1;alaycı;beyin;subakut sklerozan panensefalit;;"Bu nörosifiliz olabilir; RPR testinde yalancı negatiflik görülür ve 16 yaşında cinsel aktivite olasılığı da küçümsenemez.";"[{""text"":""nörosifiliz"",""type"":""Disease""},{""text"":""RPR"",""type"":""Test""}]"
1;2;House;;;penisilin;lomber ponksiyon;açıklama;test;0;nötr;beyin,omurga;subakut sklerozan panensefalit;;İlacı beyne ulaştırmanın en etkili yolu omurga üzerinden vermektir.;"[{""text"":""penisilin"",""type"":""Drug""},{""text"":""lomber ponksiyon"",""type"":""Procedure""},{""text"":""beyin"",""type"":""Anatomy""}]"
1;2;Foreman;beyin sapı herniasyonu;;penisilin;;açıklama;değerlendirme;0;kaygı;beyin,beyin sapı;subakut sklerozan panensefalit;;Beyin gibi dar bir alana yüksek hacimde penisilin verirsek kafa içi basınç artar, beyin sapı herniasyonu gelişip hasta ölebilir.;"[{""text"":""penisilin"",""type"":""Drug""},{""text"":""kafa içi basınç artışı"",""type"":""Symptom""},{""text"":""beyin sapı herniasyonu"",""type"":""Disease""}]"
1;2;Foreman;;;penisilin;lomber ponksiyon;açıklama;test;0;nötr;beyin;subakut sklerozan panensefalit;;"Ama hastada şant olduğu için basınç artmaz; penisilini lomber ponksiyonla verebiliriz.";"[{""text"":""şant"",""type"":""Procedure""},{""text"":""penisilin"",""type"":""Drug""},{""text"":""lomber ponksiyon"",""type"":""Procedure""}]"
1;2;Cameron;işitsel halüsinasyon;;;;açıklama;değerlendirme;0;kaygı;beyin;subakut sklerozan panensefalit;;İşitsel halüsinasyonlar beynin daha da bozulduğunu gösteriyor.;"[{""text"":""işitsel halüsinasyon"",""type"":""Symptom""},{""text"":""beyin dejenerasyonu"",""type"":""Disease""}]"
1;2;Cameron;;MR;;;açıklama;test;0;nötr;beyin;subakut sklerozan panensefalit;;MR, vaskülit olasılığını dışlıyor.;"[{""text"":""MR"",""type"":""Test""},{""text"":""vaskülit"",""type"":""Disease""}]"
1;2;Chase;;;;;açıklama;değerlendirme;0;nötr;;subakut sklerozan panensefalit;;Bu kadar genç birinde dejeneratif hastalık olasılığı daha düşük.;"{""text"":""dejeneratif hastalık"",""type"":""Disease""}"
1;2;Foreman;ateş;lökosit sayımı;;;açıklama;değerlendirme;0;nötr;;subakut sklerozan panensefalit;;"Enfeksiyon ihtimali var ama ateş yok; beyaz küre sayısı da ancak sınırda yüksek.";"[{""text"":""enfeksiyon"",""type"":""Disease""},{""text"":""ateş"",""type"":""Symptom""},{""text"":""lökosit sayımı"",""type"":""Test""}]"
1;2;House;halüsinasyon;EEG,EOG;;;hipotez;test;0;nötr;beyin;subakut sklerozan panensefalit;;"Hasta sesler duyuyor; EEG, sağ-sol EOG ve diğer kayıtlarla beynin ne yaptığını dinleyelim.";"[{""text"":""halüsinasyon"",""type"":""Symptom""},{""text"":""EEG"",""type"":""Test""},{""text"":""EOG"",""type"":""Test""}]"
1;2;House;halüsinasyon;EKG,karaciğer fonksiyon testleri;;;açıklama;değerlendirme;0;nötr;beyin,kalp,karaciğer;subakut sklerozan panensefalit;;"Şant açık ve yerinde, EKG'de QRS normal ama derin T dalga inversiyonları var; karaciğer testleri yüksek ve hasta sesler duyuyor.";"[{""text"":""şant"",""type"":""Procedure""},{""text"":""EKG"",""type"":""Test""},{""text"":""karaciğer fonksiyon testleri"",""type"":""Test""},{""text"":""halüsinasyon"",""type"":""Symptom""}]"
